"Product Name"," Item SKU ","Variation ID"," Product Status ","Qty ","Variant","Product Image"
"Modest Burkini Swimsuit- Black","11176020221702","14186445603066","branch","1","Size 2","https://cdn.shopify.com/s/files/1/0705/3669/1962/files/IMG_9388.jpg?v=1718192097"
"Wavey Satin Pants","11041110430301","14188251971834","branch","1","M","https://cdn.shopify.com/s/files/1/0705/3669/1962/files/IMG_1469.jpg?v=1716906420"
